Teste,Origem,Destino,M̩trica,Valor
Ping,h1,h3,RTT(ms),0
Ping,h1,h4,RTT(ms),0
Ping,h1,h5,RTT(ms),0
Ping,h1,h7,RTT(ms),0
Ping,h1,h8,RTT(ms),0
Ping,h2,h3,RTT(ms),0
Ping,h2,h4,RTT(ms),0
Ping,h2,h5,RTT(ms),0
Ping,h2,h7,RTT(ms),0
Ping,h2,h8,RTT(ms),0
Ping,h6,h3,RTT(ms),0
Ping,h6,h4,RTT(ms),0
Ping,h6,h5,RTT(ms),0
Ping,h6,h7,RTT(ms),0
Ping,h6,h8,RTT(ms),0
Ping,h10,h3,RTT(ms),0
Ping,h10,h4,RTT(ms),0
Ping,h10,h5,RTT(ms),0
Ping,h10,h7,RTT(ms),0
Ping,h10,h8,RTT(ms),0
Ping,h11,h3,RTT(ms),0
Ping,h11,h4,RTT(ms),0
Ping,h11,h5,RTT(ms),0
Ping,h11,h7,RTT(ms),0
Ping,h11,h8,RTT(ms),0
Ping,h12,h3,RTT(ms),0
Ping,h12,h4,RTT(ms),0
Ping,h12,h5,RTT(ms),0
Ping,h12,h7,RTT(ms),0
Ping,h12,h8,RTT(ms),0
Ping,h9,h3,RTT(ms),0
Ping,h9,h4,RTT(ms),0
Ping,h9,h5,RTT(ms),0
Ping,h9,h7,RTT(ms),0
Ping,h9,h8,RTT(ms),0
Iperf,h1,h3,Banda(Mbps),0
Iperf,h1,h4,Banda(Mbps),0
Iperf,h1,h5,Banda(Mbps),0
Iperf,h1,h7,Banda(Mbps),0
Iperf,h1,h8,Banda(Mbps),0
Iperf,h2,h3,Banda(Mbps),0
Iperf,h2,h4,Banda(Mbps),0
Iperf,h2,h5,Banda(Mbps),0
Iperf,h2,h7,Banda(Mbps),0
Iperf,h2,h8,Banda(Mbps),0
Iperf,h6,h3,Banda(Mbps),0
Iperf,h6,h4,Banda(Mbps),0
Iperf,h6,h5,Banda(Mbps),0
Iperf,h6,h7,Banda(Mbps),0
Iperf,h6,h8,Banda(Mbps),0
Iperf,h10,h3,Banda(Mbps),0
Iperf,h10,h4,Banda(Mbps),0
Iperf,h10,h5,Banda(Mbps),0
Iperf,h10,h7,Banda(Mbps),0
Iperf,h10,h8,Banda(Mbps),0
Iperf,h11,h3,Banda(Mbps),0
Iperf,h11,h4,Banda(Mbps),0
Iperf,h11,h5,Banda(Mbps),0
Iperf,h11,h7,Banda(Mbps),0
Iperf,h11,h8,Banda(Mbps),0
Iperf,h12,h3,Banda(Mbps),0
Iperf,h12,h4,Banda(Mbps),0
Iperf,h12,h5,Banda(Mbps),0
Iperf,h12,h7,Banda(Mbps),0
Iperf,h12,h8,Banda(Mbps),0
Iperf,h9,h3,Banda(Mbps),0
Iperf,h9,h4,Banda(Mbps),0
Iperf,h9,h5,Banda(Mbps),0
Iperf,h9,h7,Banda(Mbps),0
Iperf,h9,h8,Banda(Mbps),0
